Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,url,status,Vgchartzscore,img_url
4323,Rune Factory: A Fantasy Harvest Moon,rune-factory-a-fantasy-harvest-moon,Role-Playing,E,DS,Natsume,Neverland Company,,8.1,,,0.53,0.35,0.01,0.14,0.03,2007.0,,http://www.vgchartz.com/game/4207/rune-factory-a-fantasy-harvest-moon/?region=All,1,8.0,/games/boxart/full_7222522AmericaFrontccc.png
4324,Time Crisis II,time-crisis-ii,Shooter,T,PS2,Namco,Namco,,,,,0.53,0.26,0.2,,0.07,2001.0,,http://www.vgchartz.com/game/19956/time-crisis-ii/?region=All,1,,/games/boxart/7623318ccc.jpg
4325,Clock Tower,clock-tower,Adventure,M,PS,ASCII Entertainment,Human Entertainment,,6.1,,,0.53,0.07,0.05,0.38,0.03,1997.0,,http://www.vgchartz.com/game/3005/clock-tower/?region=All,1,,/games/boxart/4124676ccc.jpg
4326,Disney Infinity 3.0,disney-infinity-30,Action,E,X360,Disney Interactive Studios,Avalanche Software,,,,,0.53,0.3,0.19,,0.05,2015.0,20th Mar 18,http://www.vgchartz.com/game/85456/disney-infinity-30/?region=All,1,,/games/boxart/full_4757671AmericaFrontccc.jpg
4327,Life is Feudal: Your Own,life-is-feudal-your-own,Role-Playing,,PC,Unknown,Bitbox Ltd.,,,,0.53,,,,,,2015.0,09th Feb 19,http://www.vgchartz.com/game/223456/life-is-feudal-your-own/?region=All,1,,/games/boxart/full_9200255AmericaFrontccc.jpg
4328,NCAA March Madness 06,ncaa-march-madness-06,Sports,E,PS2,EA Sports,EA Canada,,,,,0.53,0.45,0.02,,0.07,2005.0,,http://www.vgchartz.com/game/5478/ncaa-march-madness-06/?region=All,1,,/games/boxart/full_6164982AmericaFrontccc.jpg
4329,Jampack Volume 11,jampack-volume-11,Misc,M,PS2,Sony Computer Entertainment,Sony Computer Entertainment America,,,,,0.53,0.26,0.2,,0.07,2004.0,,http://www.vgchartz.com/game/24638/jampack-volume-11/?region=All,1,,/games/boxart/8974623ccc.jpg
4330,G-Force,g-force,Action,E10,DS,Disney Interactive Studios,Keen Games,,7.0,,,0.53,0.26,0.22,,0.05,2009.0,,http://www.vgchartz.com/game/33158/g-force/?region=All,1,,/games/boxart/full_3956211AmericaFrontccc.jpg
4331,Legacy of Kain: Defiance,legacy-of-kain-defiance,Adventure,M,PS2,Eidos Interactive,Crystal Dynamics,,,,,0.53,0.26,0.2,,0.07,2003.0,,http://www.vgchartz.com/game/5255/legacy-of-kain-defiance/?region=All,1,,/games/boxart/9591881ccc.jpg
4332,SpongeBob SquarePants: Game Boy Advance Video Volume 2,spongebob-squarepants-game-boy-advance-video-volume-2,Misc,,GBA,Majesco,Majesco Games,,,,,0.53,0.38,0.14,,0.01,2004.0,,http://www.vgchartz.com/game/28408/spongebob-squarepants-game-boy-advance-video-volume-2/?region=All,1,,/games/boxart/full_8362368AmericaFrontccc.jpg
4333,Hello Kitty: Big City Dreams,hello-kitty-big-city-dreams,Puzzle,E,DS,Empire Interactive,"Human Soft, Inc.",,,,,0.53,0.42,0.07,,0.04,2008.0,,http://www.vgchartz.com/game/25970/hello-kitty-big-city-dreams/?region=All,1,,/games/boxart/full_7609389AmericaFrontccc.jpg
4334,007 Racing,007-racing,Racing,T,PS,Electronic Arts,Eutechnyx,,6.1,,,0.53,0.3,0.2,,0.03,2000.0,,http://www.vgchartz.com/game/17050/007-racing/?region=All,1,,/games/boxart/full_007-racing_122AmericaFront.jpg
4335,NCAA March Madness 2005,ncaa-march-madness-2005,Sports,E,PS2,EA Sports,EA Canada,,,,,0.53,0.44,0.02,,0.07,2004.0,,http://www.vgchartz.com/game/5481/ncaa-march-madness-2005/?region=All,1,,/games/boxart/3311315ccc.jpg
4336,Unit 13,unit-13,Misc,,PSV,Sony Computer Entertainment,Zipper Interactive,,,,,0.53,0.25,0.15,0.04,0.09,2012.0,03rd Jan 18,http://www.vgchartz.com/game/70406/unit-13/?region=All,1,,/games/boxart/full_7327798PALFrontccc.jpg
4337,Conflict: Vietnam,conflict-vietnam,Shooter,M,PS2,Global Star Software,Pivotal Games,,,,,0.53,0.26,0.2,,0.07,2004.0,,http://www.vgchartz.com/game/4983/conflict-vietnam/?region=All,1,,/games/boxart/5620270ccc.jpg
4338,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,2-in-1-combo-pack-sonic-heroes,Misc,E,XB,Sega,Sega,,,,,0.53,0.4,0.11,,0.02,2005.0,,http://www.vgchartz.com/game/42074/2-in-1-combo-pack-sonic-heroes-super-monkey-ball-deluxe/?region=All,1,,/games/boxart/full_2779200AmericaFrontccc.jpg
4339,Phoenix Wright: Ace Attorney - Justice for All,phoenix-wright-ace-attorney-justice-for-all,Adventure,T,DS,Capcom,Capcom,,7.6,,,0.53,0.21,0.04,0.26,0.03,2007.0,,http://www.vgchartz.com/game/4006/phoenix-wright-ace-attorney-justice-for-all/?region=All,1,,/games/boxart/2037033ccc.jpg
4340,MLB SlugFest 20-04,mlb-slugfest-20-04,Sports,E,PS2,Midway Games,Criterion Games,,,,,0.53,0.26,0.2,,0.07,2003.0,,http://www.vgchartz.com/game/5371/mlb-slugfest-20-04/?region=All,1,,/games/boxart/8411211ccc.jpg
4341,Gex 3: Deep Cover Gecko,gex-3-deep-cover-gecko,Platform,T,PS,Eidos Interactive,Crystal Dynamics,,,,,0.53,0.3,0.2,,0.03,1999.0,,http://www.vgchartz.com/game/15978/gex-3-deep-cover-gecko/?region=All,1,,/games/boxart/full_5816304AmericaFrontccc.jpg
4342,Blitz: The League,blitz-the-league,Sports,M,XB,Midway Games,Midway Games,,7.9,,,0.53,0.4,0.11,,0.02,2005.0,,http://www.vgchartz.com/game/213/blitz-the-league/?region=All,1,,/games/boxart/full_9796286AmericaFrontccc.jpg
4343,NASCAR 09,nascar-09,Racing,E,PS2,EA Sports,EA Tiburon,,,,,0.53,0.26,0.2,,0.07,2008.0,,http://www.vgchartz.com/game/20068/nascar-09/?region=All,1,,/games/boxart/1428147ccc.jpg
4344,Jampack Vol. 2,jampack-vol-2,Misc,,PS,Sony Computer Entertainment,Sony Computer Entertainment America,,,,,0.53,0.3,0.2,,0.03,1997.0,,http://www.vgchartz.com/game/42510/jampack-vol-2/?region=All,1,,/games/boxart/full_9078265AmericaFrontccc.jpg
4345,Inazuma Eleven,inazuma-eleven,Role-Playing,,DS,Nintendo,Level 5,,6.8,,,0.53,,0.13,0.38,0.02,2011.0,,http://www.vgchartz.com/game/18422/inazuma-eleven/?region=All,1,,/games/boxart/full_inazuma-eleven_549PALFront.jpg
4346,Virtual Soccer,virtual-soccer,Sports,,SNES,Hudson Soft,Probe Entertainment Limited,,,,,0.53,,,0.53,0.0,1994.0,,http://www.vgchartz.com/game/3524/virtual-soccer/?region=All,1,,/games/boxart/full_2063261JapanFrontccc.jpg
4347,Romance of the Three Kingdoms IV: Wall of Fire,romance-of-the-three-kingdoms-iv-wall-of-fire,Strategy,E,SNES,KOEI,Koei / Inis,,,,,0.53,,,0.53,,1995.0,,http://www.vgchartz.com/game/4188/romance-of-the-three-kingdoms-iv-wall-of-fire/?region=All,1,,/games/boxart/full_6096723AmericaFrontccc.jpg
4348,Michael Jackson: The Experience,michael-jackson-the-experience,Misc,E10,PS3,Ubisoft,Ubisoft Montreal,,,,,0.53,0.25,0.19,0.0,0.09,2011.0,,http://www.vgchartz.com/game/45665/michael-jackson-the-experience/?region=All,1,,/games/boxart/full_michael-jackson-the-experience_95AmericaFront.jpg
4349,Excite Truck,excite-truck,Racing,E,Wii,Nintendo,Monster Games Inc.,,7.0,,,0.53,0.39,0.03,0.08,0.04,2006.0,,http://www.vgchartz.com/game/682/excite-truck/?region=All,1,8.0,/games/boxart/full_4742882AmericaFrontccc.png
4350,Winning Post,winning-post,Sports,,SNES,KOEI,Koei,,,,,0.53,,,0.53,,1993.0,,http://www.vgchartz.com/game/4692/winning-post/?region=All,1,,/games/boxart/full_6331720JapanFrontccc.jpg
4351,Peter Jackson's King Kong: The Official Game of the Movie,peter-jacksons-king-kong-the-official-game-of-the-movie,Action,T,XB,Ubisoft,Ubisoft Montpellier,,,,,0.53,0.34,0.17,,0.02,2005.0,,http://www.vgchartz.com/game/1121/peter-jacksons-king-kong-the-official-game-of-the-movie/?region=All,1,,/games/boxart/4916742ccc.jpg
4352,Burnout Revenge,burnout-revenge,Action,E10,XB,Electronic Arts,Criterion Games,,,,,0.53,0.32,0.19,,0.01,2005.0,,http://www.vgchartz.com/game/275/burnout-revenge/?region=All,1,,/games/boxart/3756948ccc.jpg
4353,Medal of Honor: European Assault,medal-of-honor-european-assault,Shooter,T,XB,Electronic Arts,EA Los Angeles,,,,,0.53,0.32,0.19,,0.02,2005.0,,http://www.vgchartz.com/game/1295/medal-of-honor-european-assault/?region=All,1,,/games/boxart/9776874ccc.jpg
4354,Ty the Tasmanian Tiger 2: Bush Rescue,ty-the-tasmanian-tiger-2-bush-rescue,Platform,E,PS2,Electronic Arts,Krome Studios,,7.3,,,0.53,0.26,0.2,,0.07,2004.0,,http://www.vgchartz.com/game/5953/ty-the-tasmanian-tiger-2-bush-rescue/?region=All,1,,/games/boxart/3542792ccc.jpg
4355,The Lord of the Rings: The Fellowship of the Ring,the-lord-of-the-rings-the-fellowship-of-the-ring,Action,T,XB,Black Label Games,WXP,,,,,0.53,0.31,0.19,,0.03,2002.0,,http://www.vgchartz.com/game/1197/the-lord-of-the-rings-the-fellowship-of-the-ring/?region=All,1,,/games/boxart/1904523ccc.jpg
