Name,Basename,Release Date,Age Rating,Single Player,Multi Player,Franchise
Dr. Mario,dr-mario,26/07/1990,ESRB-E,1,1,
Pokémon Pinball,pokemon-pinball,13/04/1999,ESRB-E,1,0,Pokémon
Super Mario Party,super-mario-party,04/10/2018,ESRB-E,1,1,
The Forest,the-forest,29/04/2018,PEGI-12,1,1,
Donkey Kong 64,donkey-kong-64,21/11/1999,ESRB-E,1,1,
Just Dance 2,just-dance-2,11/10/2010,ESRB-E10,,,
Tomb Raider II,tomb-raider-ii,23/11/1997,ESRB-T,1,0,
Madden NFL 2004,madden-nfl-2004,10/08/2003,ESRB-E,1,1,
Fallout: New Vegas,fallout-new-vegas,18/10/2010,ESRB-M,1,0,
Gran Turismo 6,gran-turismo-6,04/12/2013,ESRB-E,1,1,
Kingdom Hearts II,kingdom-hearts-ii,21/12/2005,ESRB-E10,1,0,
God of War III,god-of-war-iii,15/03/2010,ESRB-M,1,0,
Nintendo Land,nintendo-land,17/11/2012,ESRB-E10,1,1,
Super Mario Land 3: Wario Land,super-mario-land-3-wario-land,00/00/1994,,,,
Donkey Kong Country 2: Diddy's Kong Quest,donkey-kong-country-2-diddys-kong-quest,00/00/1995,,,,
Medal of Honor: Rising Sun,medal-of-honor-rising-sun,10/11/2003,ESRB-T,1,1,
Kirby's Dream Land,kirbys-dream-land,00/00/1992,,,,
Microsoft Flight Simulator,microsoft-flight-simulator,17/08/2020,ESRB-RP,,,
Guitar Hero II,guitar-hero-ii,06/11/2006,ESRB-T,1,1,
Resident Evil 5,resident-evil-5,04/03/2009,ESRB-M,1,1,Resident Evil
Fable III,fable-iii,25/10/2010,ESRB-M,1,1,
Mario & Sonic at the Olympic Games,mario-amp-sonic-at-the-olympic-games,00/00/2008,,,,
Grand Theft Auto: Vice City Stories,grand-theft-auto-vice-city-stories,30/10/2006,ESRB-M,1,1,
FIFA Soccer 11,fifa-soccer-11,00/00/2010,,,,
Super Mario Bros. Deluxe,super-mario-bros-deluxe,29/05/1999,ESRB-E,,,
Final Fantasy XV,final-fantasy-xv,28/11/2016,ESRB-T,1,0,Final Fantasy
Tony Hawk's Pro Skater,tony-hawks-pro-skater,00/00/1999,,,,
Warzone 2100,warzone-2100,09/04/1999,ESRB-T,,,
Spyro the Dragon,spyro-the-dragon,09/09/1998,ESRB-E,1,0,
Cities: Skylines,cities-skylines,09/03/2015,PEGI-3,1,0,
Gears of War,gears-of-war,06/11/2006,ESRB-M,1,1,
Gears of War 2,gears-of-war-2,06/11/2008,ESRB-M,1,1,
Guild Wars 2,guild-wars-2,17/08/2012,ESRB-T,0,1,
Halo 5: Guardians,halo-5-guardians,26/10/2015,ESRB-T,1,1,
Halo: Combat Evolved,halo-combat-evolved,14/11/2001,ESRB-M,1,1,Halo
Guitar Hero III: Legends of Rock,guitar-hero-iii-legends-of-rock,27/10/2007,ESRB-T,1,1,
Uncharted: Drake's Fortune,uncharted-drakes-fortune,00/00/2007,,,,
Resident Evil 2,resident-evil-2,20/01/1998,ESRB-M,1,0,
Fallout 3,fallout-3,27/10/2008,ESRB-M,1,0,
Splatoon,splatoon,27/05/2015,PEGI-7,1,1,
Madden NFL 06,madden-nfl-06,07/08/2005,ESRB-E,1,1,
Stardew Valley,stardew-valley,25/02/2016,ESRB-E10,1,1,
Dragon Quest VIII: Journey of the Cursed King,dragon-quest-viii-journey-of-the-cursed-king,26/11/2004,ESRB-T,1,0,
Monster Hunter Freedom 3,monster-hunter-freedom-3,00/00/2010,,,,
Diddy Kong Racing,diddy-kong-racing,20/11/1997,ESRB-E,1,1,
Pokemon Mystery Dungeon: Explorers of Time / Darkness,pokmon-mystery-dungeon-explorers-of-time,00/00/2008,,,,
Crash Bandicoot N. Sane Trilogy,crash-bandicoot-n-sane-trilogy,29/06/2017,ESRB-E10,1,0,
Crash Team Racing,crash-team-racing,29/09/1999,ESRB-E,1,1,
The Legend of Zelda: Phantom Hourglass,the-legend-of-zelda-phantom-hourglass,22/06/2007,ESRB-E,1,0,
Driver 2,driver-2,00/00/2000,,,,
The Simpsons: Hit & Run,the-simpsons-hit-amp-run,00/00/2003,,,,
World of Warcraft: Cataclysm,world-of-warcraft-cataclysm,06/12/2010,ESRB-T,0,1,Warcraft
Tony Hawk's Pro Skater 2,tony-hawks-pro-skater-2,00/00/2000,,,,
Monster Hunter: World,monster-hunter-world,25/01/2018,ESRB-T,1,1,
The Lord of the Rings: The Two Towers,the-lord-of-the-rings-the-two-towers,20/10/2002,ESRB-T,1,0,The Lord of the Rings
Tomb Raider,tomb-raider,30/09/1996,ESRB-T,1,0,
God of War,god-of-war,21/03/2005,ESRB-M,1,0,
The Legend of Zelda: A Link to the Past,the-legend-of-zelda-a-link-to-the-past,20/11/1991,ESRB-E,1,0,
Forza Motorsport 4,forza-motorsport-4,10/10/2011,ESRB-E,1,1,
"Pokemon: Let's Go, Pikachu!"," pikachu""",00/00/2018,,,,
Bioshock Infinite,bioshock-infinite,25/02/2013,ESRB-M,1,0,
Mario & Luigi: Bowser's Inside Story,mario-amp-luigi-bowsers-inside-story,00/00/2009,,,,
