name,first_release_date,single_player,multi_player,age_ratings,franchise,game_modes
Quell,06/08/2010,1,0,ESRB-E,null,null
Bobsu!,null,null,null,null,null,null
Deer Hunter Reloaded,23/10/2017,1,0,null,null,null
Caribbean Jigsaw,null,null,null,null,null,null
Explore Fish Feeding and Grow,27/12/2017,null,null,null,null,null
Mahjong Mojo 3D,null,null,null,null,null,null
Hexalot,null,null,null,null,null,null
Lost in Japan,null,null,null,null,null,null
EVAC,null,null,null,null,null,null
Cribbage,30/12/1980,1,0,null,null,null
Moria,30/12/1978,null,null,null,null,null
Oh Snap,null,null,null,null,null,null
Mystery P.I.: Stolen in San Francisco,null,null,null,null,null,null
Cube DOA,null,1,0,null,null,null
The Journey of Ieser,null,null,null,null,null,null
Don't Panic,null,1,0,null,null,null
Lode Runner: Lost Labyrinth,26/07/1990,null,null,null,null,null
Porkpolis,31/01/1984,null,null,null,null,null
Overcooked! 2: Gourmet Edition,06/04/2020,1,1,ESRB-E,null,null
Rescue Team 7: Collector's Edition,null,null,null,null,null,null
Beebul,null,null,null,null,null,null
Gradius Galaxies,null,null,null,null,null,null
12nin no Onna Kyoushi Re-Innovation -In-,null,null,null,null,null,null
"Married Woman, Miho",null,null,null,null,null,null
Dynatron Mission,null,null,null,null,null,null
A five-day tour in the morgue,null,1,0,null,null,null
Ragnarok Online Mobile,null,null,null,null,null,null
Hockey Pong,null,null,null,null,null,null
Panic Attack - Devil's Favorite,null,null,null,null,null,null
Flying Islands Chronicles,null,null,null,null,null,null
Evolve: Ultimate Edition,null,null,null,null,null,null
Balloon Strike,null,1,0,null,null,null
秋色的記憶(體驗版) / Fall...in Love,25/07/2018,1,0,null,null,null
Bakugan Dimensions,31/05/2010,null,null,null,null,null
One Epic Game,null,null,null,null,null,null
Banana Boat Water Speed Race,null,null,null,null,null,null
Recoil: Retrograd,null,null,null,null,null,null
Space Bits,null,null,null,null,null,null
Dancing Eyes,31/07/1996,1,0,null,null,null
Cat Girl,null,1,0,null,null,null
'90s Football Stars,null,1,1,null,null,null
Leyendas de Lhodrye: Arakhas el Oscuro,null,null,null,null,null,null
Humanity Must Perish,31/08/2017,1,0,null,null,null
Round-Up,null,null,null,null,null,null
2XL Supercross,08/04/2009,null,null,null,null,null
Combat Tanks,null,null,null,null,null,null
Rescue 911,null,null,null,null,null,null
Rasmus Klump som landpost,null,null,null,null,null,null
Blasted Fortress,07/01/2015,1,0,null,null,null
Ultima Online: Third Dawn,null,0,1,null,null,null
Dimiria: The Agrarian Falls,null,null,null,null,null,null
Treasure Hunter Claire,19/07/2018,1,0,null,null,null
Electroplankton Beatnes,07/07/2009,null,null,null,null,null
Major League Pinball,null,null,null,null,null,null
FX Chess Plus,null,null,null,null,null,null
Hidden Objects - Mystery Tree House - Dog Adventure - Find The Evidence Story,null,null,null,null,null,null
My Town: Cinema,15/11/2016,null,null,null,null,null
MediEvil: Resurrection,31/08/2005,1,0,ESRB-T,null,null
Bushiden,30/12/2021,1,0,null,null,null
Vibes,null,null,null,null,null,null
Scrabble Complete,null,null,null,null,null,null
Space War: Infinity,null,1,0,null,null,null
Streetbike: Full Blast,null,null,null,null,null,null
Indianapolis 500 Evolution,null,null,null,null,null,null
Meganova,null,null,null,null,null,null
4 Gewinnt,null,null,null,null,null,null
Chunkout,null,null,null,null,null,null
Soviet,30/12/1990,1,0,null,null,null
Sudoku - Premium Number Puzzle,15/09/2009,null,null,null,null,null
The Lost Dimension,27/07/2016,null,null,ESRB-T,null,null
Little Kite,13/09/2017,1,0,null,null,null
Billy Boy,null,null,null,null,null,null
Topple Drop,null,null,null,null,null,null
Jesters Poker,null,1,0,null,null,null
Superman,25/12/1987,1,0,null,null,null
Koshien Story,null,null,null,null,null,null
Pretty Sheep,null,null,null,null,null,null
Scary Humans,25/10/2016,1,0,null,null,null
Sticky Balls,null,null,null,null,null,null
Undercover Missions: Operation Kursk K-141,10/12/2015,1,0,null,null,null
SlideRow,06/07/2019,1,0,ESRB-E,null,null
Sim Racing Dashboard,null,null,null,null,null,null
Fairy Rescue,null,1,0,null,null,null
The Bard's Tale IV: Barrows Deep - Premium Edition,null,null,null,null,null,null
Take Your Best Shot,null,null,null,null,null,null
Inside The Code,07/01/2016,1,0,null,null,null
THE iDOLM@STER LIVE in SLOT!,null,null,null,null,null,null
Deep Blue Sea,null,null,null,null,null,null
Mowy Lawn,07/03/2018,null,null,null,null,null
Freedom Fighter,null,null,null,null,null,null
